No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
47,D000000000025,Dicom tablet,Obat Bebas Terbatas,,50,"515,00",Tablet,"1.027.084,11","0,32%","23,17%",Pareto A,280,"515,00","235,00","1.500,00",AMS (Antarmitra Sembada),Under Stock,28 Sep 2022 
48,IMOD,Imodium,Obat Keras,,22,"93,00",Tablet,"1.015.774,32","0,32%","23,48%",Pareto A,137,"93,00","-44,00","7.514,50",Putra Perdana Khadijah,Over Stock,28 Sep 2022 
49,ITN2,Intunal Forte/Strip,Obat Bebas Terbatas,,155,"254,00",Strip,"1.010.931,39","0,32%","23,80%",Pareto A,95,"254,00","159,00","3.000,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
50,TENSVK1,Tensivask 5,Obat Keras,,5,"120,00",Tablet,"1.000.309,80","0,31%","24,11%",Pareto A,110,"120,00","10,00","5.850,00",AAM (Anugrah Argon Medica),Under Stock,30 Sep 2022 
51,0000705,Gabapentin 300 mg,Obat Keras,,11,"155,00",Tablet,"986.173,95","0,31%","24,42%",Pareto A,123,"155,00","32,00","4.410,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
52,Aml5,Amlodipin 10 mg MEDIKON/Strip 10,Obat Keras,,41,"65,00",Strip,"977.398,29","0,31%","24,73%",Pareto A,43,"65,00","22,30","10.185,00",Kalista Prima PT,Under Stock,30 Sep 2022 
53,Cetir,Cetirizine 10 mg/10,Obat Keras,,110,"167,00",Strip,"966.475,89","0,30%","25,03%",Pareto A,130,"167,90","37,50","3.500,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
54,BSLVNE2,Bisolvon Extra 60 ml,Obat Bebas Terbatas,,19,"19,00",Botol,"958.257,45","0,30%","25,33%",Pareto A,15,"19,00","4,00","38.045,00",Sumber Agung Sentosa,Under Stock,27 Sep 2022 
55,LAMES03,Lameson tab 8mg,Obat Keras,,11,"111,00",Tablet,"957.396,09","0,30%","25,63%",Pareto A,125,"111,00","-14,00","6.000,00",Penta Valen,Over Stock,27 Sep 2022 
56,0000277,Trosyd Cream 10 g,Obat Keras,,7,"9,00",Tube,"954.330,27","0,30%","25,93%",Pareto A,7,"9,55","2,10","69.083,00",APL ID 293873,Under Stock,30 Sep 2022 
57,IMBO2,Imboost Force Syr 60 ml,Obat Bebas Terbatas,,12,"12,00",Botol,"934.212,63","0,29%","26,22%",Pareto A,11,"12,00","1,00","58.750,00",PT Parit Padang Global,Under Stock,28 Sep 2022 
58,antang,Antangin JRG Cair/Banded 3s,Obat Bebas Terbatas,,38,"88,00",BANDED,"928.865,76","0,29%","26,51%",Pareto A,93,"88,00","-5,00","8.295,25",Mulya Wibawa PT,Over Stock,30 Sep 2022 
59,INER,Inerson Oint 15 g,Obat Keras,,7,"7,00",Tube,"908.890,20","0,28%","26,80%",Pareto A,3,"7,00","3,69","88.500,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
60,HUFAG2,Hufagrip BP Syr Hijau,Obat Bebas Terbatas,,41,"43,00",Botol,"893.636,58","0,28%","27,07%",Pareto A,16,"43,00","27,00","15.903,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
61,TEMP3,TEMPRA DROP 15 ML,Obat Bebas Terbatas,,16,"16,00",Botol,"878.689,32","0,27%","27,35%",Pareto A,8,"16,00","8,00","41.500,00",Barotama Mulya Perkasa,Under Stock,27 Sep 2022 
62,0000226,Ataroc Syr 60ml,Obat Keras,,13,"13,00",Botol,"875.597,97","0,27%","27,62%",Pareto A,13,"13,00","0,00","46.500,00",AMS (Antarmitra Sembada),Stock On Hand,26 Sep 2022 
63,S000000000070,Sanmol Forte Syr,Obat Bebas Terbatas,,24,"24,00",Botol,"867.325,14","0,27%","27,89%",Pareto A,16,"24,00","8,00","27.100,00",BSP (Bina San Prima),Under Stock,30 Sep 2022 
64,MESON1,"Mesone Krim 0,1% 10 g",Obat Keras,,6,"9,00",Tube,"857.674,80","0,27%","28,16%",Pareto A,10,"9,00","-1,35","63.000,00",Kalista Prima PT,Over Stock,15 Sep 2022 
65,TRM1,Triaminic Batuk Pilek 60 ml,Obat Bebas Terbatas,,10,"10,00",Botol,"834.498,00","0,26%","28,42%",Pareto A,8,"10,00","2,00","63.000,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,29 Sep 2022 
66,MKPL03,KP LANG 60 ML,Obat Bebas Terbatas,,36,"36,00",Botol,"828.793,71","0,26%","28,68%",Pareto A,13,"36,00","23,00","17.334,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
67,Prospan,Prospan Syr 100ml,Obat Bebas Terbatas,,9,"9,00",Botol,"807.410,67","0,25%","28,94%",Pareto A,9,"9,00","0,00","67.700,00",KDE (Ka Dua Empat PT),Stock On Hand,29 Sep 2022 
68,0001223,Pulmicort Respule 0.25 (0.5 mg/2 ml,Obat Keras,,9,"28,00",Ampul,"802.424,55","0,25%","29,19%",Pareto A,22,"28,00","6,00","19.925,80",APL ID 293873,Under Stock,27 Sep 2022 
69,SP1,SP Troches Straw 12s,Obat Bebas Terbatas,,46,"50,00",Dus,"800.069,13","0,25%","29,44%",Pareto A,38,"50,00","12,00","12.073,00",Sumber Agung Sentosa,Under Stock,30 Sep 2022 
70,OBT2209210001,TIMBANGAN DAN UKUR TINGGI GEA ZT-120,,,1,"1,00",PC,"799.450,86","0,25%","29,69%",Pareto A,0,"1,00","1,00","615.316,00",Mutiara Mas Medika,Potential Lost,22 Sep 2022 
71,PRAX2,Praxion 120mg/5ml Susp 60ml,Obat Bebas Terbatas,,26,"26,00",Botol,"792.673,20","0,25%","29,94%",Pareto A,27,"26,00","-1,00","23.000,00",Mulya Wibawa PT,Over Stock,28 Sep 2022 
72,T000000000049,Termometer Gun IR Yuwell,Alat Kesehatan,,3,"3,00",PC,"787.548,33","0,25%","30,18%",Pareto A,2,"3,00","1,00","172.973,00",Dwidaya Langgeng Sentosa,Under Stock,24 Sep 2022 
73,METYL1,METHYLPREDNISOLONE 4MG/Strip 10S,Obat Keras,,88,"116,00",Strip,"783.049,50","0,25%","30,43%",Pareto A,59,"116,60","57,20","4.005,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
74,fit 4,Fitkom Gummy BOX (Biru),Obat Bebas Terbatas,,1,"45,00",Box,"778.487,40","0,24%","30,67%",Pareto A,3,"45,00","42,00","13.000,00",Bintang Maahir Sentosa,Under Stock,22 Sep 2022 
75,0001170,Nexium 40 mg,Obat Keras,,6,"23,00",Tablet,"778.017,87","0,24%","30,91%",Pareto A,21,"23,00","2,00","23.640,21",Sumber Agung Sentosa,Under Stock,26 Sep 2022 
76,MERTGO,Mertigo Tab,Obat Keras,,18,"157,00",Tablet,"777.566,10","0,24%","31,16%",Pareto A,147,"157,00","10,00","3.400,00",AAM (Anugrah Argon Medica),Under Stock,28 Sep 2022 
77,0001029,Prorenal Tablet,Obat Keras,,6,"90,00",Tablet,"772.149,30","0,24%","31,40%",Pareto A,107,"90,00","-17,00","6.000,00",AMS (Antarmitra Sembada),Over Stock,28 Sep 2022 
78,DIAN1,Diane - 35 /Strip box,Obat Keras,,4,"4,00",Box,"769.527,48","0,24%","31,64%",Pareto A,3,"4,00","1,00","135.200,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
79,S000000000317,Seretide Diskus 500 mcg,Obat Keras,,2,"2,00",Botol,"766.322,91","0,24%","31,88%",Pareto A,1,"2,00","1,00","269.629,00",APL ID 293873,Under Stock,22 Sep 2022 
80,drc,Kassa Steril DRC,Alat Kesehatan,,41,"51,00",PC,"762.384,63","0,24%","32,12%",Pareto A,22,"51,00","29,00","11.080,00",Dwidaya Langgeng Sentosa,Under Stock,30 Sep 2022 
81,N000000000021,"NACL 0,9% Widatra 500 ml Generik",Obat Keras,,35,"83,00",Botol,"761.534,37","0,24%","32,36%",Pareto A,59,"83,00","24,00","6.182,00",PT IGM (Indofarma Global Medika),Under Stock,30 Sep 2022 
82,P000000000107,Provelyn 150 mg,Obat Keras,,2,"28,00",KAPSUL,"753.210,48","0,24%","32,59%",Pareto A,14,"28,00","14,00","18.928,57",Enseval Putra Megatranding PT,Under Stock,20 Sep 2022 
83,LASA1,Lasal Exp Syr 100 ml,Obat Keras,,13,"13,00",Botol,"752.524,50","0,24%","32,83%",Pareto A,11,"13,00","2,00","40.000,00",Kalista Prima PT,Under Stock,30 Sep 2022 
84,DEP1,Depakene Syrup 250mg/5ml 120 ml,Obat Keras,,3,"3,00",Botol,"736.194,18","0,23%","33,06%",Pareto A,1,"3,00","2,00","172.400,00",APL ID 293873,Under Stock,26 Sep 2022 
85,WOOD4,Woods Exp 100 ml,Obat Bebas Terbatas,,19,"21,00",Botol,"725.750,19","0,23%","33,29%",Pareto A,16,"21,00","5,00","25.676,00",Muda Jaya Sukses,Under Stock,27 Sep 2022 
86,L000000000022,Lasgan,Obat Keras,,7,"35,00",TAB,"701.206,98","0,22%","33,50%",Pareto A,12,"35,00","23,00","14.000,00",Kalista Prima PT,Under Stock,30 Sep 2022 
87,KNALOG,KENALOG IN ORABASE,Obat Keras,,8,"8,00",Tube,"689.010,30","0,22%","33,72%",Pareto A,9,"8,00","-1,00","60.000,00",Combi Putra PT,Over Stock,29 Sep 2022 
88,VENTL2,Ventolin Inhaler 200 dose,Obat Keras,,4,"4,00",Botol,"687.236,52","0,22%","33,94%",Pareto A,6,"4,00","-2,00","120.449,00",Combi Putra PT,Over Stock,24 Sep 2022 
89,Fluim1,Fluimucil 200 Mg,Obat Keras,,9,"78,00",Tablet,"683.007,42","0,21%","34,15%",Pareto A,43,"78,00","35,00","6.066,67",APL ID 293873,Under Stock,28 Sep 2022 
90,OBT2207150001,IMBOOST FORCE ULTIMATE,,,8,"65,00",TAB,"682.858,68","0,21%","34,36%",Pareto A,67,"65,00","-2,00","7.931,67",PT Parit Padang Global,Over Stock,27 Sep 2022 
91,0000650,Halmezin Syrup,Obat Bebas Terbatas,,19,"19,00",Botol,"678.812,73","0,21%","34,57%",Pareto A,12,"19,00","7,00","27.000,00",Combi Putra PT,Under Stock,30 Sep 2022 
92,Bye2,Bye Bye Fever Bayi/pcs,Obat Bebas Terbatas,,26,"88,00",PC,"678.010,20","0,21%","34,79%",Pareto A,72,"88,00","16,00","5.801,00",Merapi Utama Pharma PT,Under Stock,30 Sep 2022 
93,CATF3,Cataflam Fast 50mg Sachet 1S,Obat Keras,,15,"56,00",SACHET,"671.022,75","0,21%","35,00%",Pareto A,25,"56,00","31,00","8.210,67",Langkah Insan Mandiri PT,Under Stock,26 Sep 2022 
94,WOOD2,Woods Antitusif 100 ml,Obat Bebas Terbatas,,19,"19,00",Botol,"654.481,53","0,20%","35,20%",Pareto A,10,"19,00","9,00","25.676,00",Combi Putra PT,Under Stock,29 Sep 2022 
95,CDR10,CDR 10 Eff,Obat Bebas Terbatas,,13,"13,00",Tube,"645.510,51","0,20%","35,40%",Pareto A,10,"13,00","3,00","37.472,00",Rajawali Nusindo,Under Stock,21 Sep 2022 
96,LAP3,Lapifed Exp 60 ml,Obat Bebas Terbatas,,18,"18,00",Botol,"644.952,18","0,20%","35,61%",Pareto A,11,"18,00","7,00","27.000,00",Combi Putra PT,Under Stock,30 Sep 2022 
97,C000000000081,Clopidogrel Novel,Obat Keras,,14,"245,00",Tablet,"644.887,80","0,20%","35,81%",Pareto A,220,"245,00","25,00","1.833,33",AMS (Antarmitra Sembada),Under Stock,26 Sep 2022 
98,0000495,Citicoline 500mg tab NOVEL,Obat Keras,,2,"75,00",Tablet,"643.161,75","0,20%","36,01%",Pareto A,75,"75,00","0,00","6.000,00",AMS (Antarmitra Sembada),Stock On Hand,20 Sep 2022 
99,D000000000016,D Vit Syr,Obat Bebas Terbatas,,14,"16,00",Botol,"635.994,48","0,20%","36,21%",Pareto A,9,"16,00","7,00","30.000,00",Kalista Prima PT,Under Stock,26 Sep 2022 
100,CENX01,C XITROL TM 5ML,Obat Keras,,16,"16,00",Botol,"635.907,90","0,20%","36,41%",Pareto A,21,"16,00","-5,00","27.250,00",Penta Valen,Over Stock,25 Sep 2022 
101,OBT2204180002,Orlistat 120 mg,,,5,"70,00",Tablet,"627.871,50","0,20%","36,60%",Pareto A,50,"70,00","20,00","6.000,00",AMS (Antarmitra Sembada),Under Stock,28 Sep 2022 
102,C000000000100,Cessa Cough&Cold,Obat Bebas Terbatas,,15,"16,00",Botol,"626.918,01","0,20%","36,80%",Pareto A,8,"16,00","8,00","30.000,00",Adikara Kelapa,Under Stock,30 Sep 2022 
103,DARY2,Daryant - Tulle,Obat Keras,,15,"21,00",PC,"622.542,39","0,19%","36,99%",Pareto A,27,"21,00","-6,00","20.638,80",Mulya Wibawa PT,Over Stock,25 Sep 2022 
104,DOLNB,DOLO NEUROBION 10S,Obat Bebas Terbatas,,20,"37,00",Strip,"616.920,24","0,19%","37,19%",Pareto A,8,"37,00","29,00","16.545,40",Langkah Insan Mandiri PT,Under Stock,29 Sep 2022 
105,SIMV02,Simvastatin 10 mg/Strip 10s,Obat Keras,,41,"85,00",Strip,"610.620,99","0,19%","37,38%",Pareto A,41,"85,00","44,00","4.663,67",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
106,I000000000015,Imunped Syrup 60 ml,Obat Bebas Terbatas,,10,"10,00",Botol,"606.381,90","0,19%","37,57%",Pareto A,9,"10,00","1,00","46.900,00",Langkah Insan Mandiri PT,Under Stock,28 Sep 2022 
107,pept,Peptisol Coklat,Obat Bebas Terbatas,,4,"7,00",Dus,"605.769,18","0,19%","37,76%",Pareto A,7,"7,00","0,00","70.000,00",Enseval Putra Megatranding PT,Stock On Hand,24 Sep 2022 
108,FOLA1,Folamil Genio /capsul,Obat Bebas Terbatas,,4,"120,00",KAPSUL,"603.928,80","0,19%","37,95%",Pareto A,217,"120,00","-97,00","3.800,00",AAM (Anugrah Argon Medica),Over Stock,18 Sep 2022 
109,MEFIN2,MEFINAL 500,Obat Keras,,31,"289,00",KAPSUL,"603.223,95","0,19%","38,13%",Pareto A,283,"289,00","6,00","1.375,00",BSP (Bina San Prima),Under Stock,29 Sep 2022 
110,0000150,Ryvell syr 60 ml,Obat Keras,,7,"7,00",Botol,"602.907,60","0,19%","38,32%",Pareto A,6,"7,00","1,00","60.000,00",AMS (Antarmitra Sembada),Under Stock,29 Sep 2022 
111,OBT2206140002,Sasak Herbal 60ml,,,4,"4,00",Botol,"599.932,80","0,19%","38,51%",Pareto A,3,"4,00","1,00","120.000,00",Lain-lain Suplayer,Under Stock,29 Sep 2022 
112,B000000000063,BISOLVON EXTRA 125ML,Obat Bebas Terbatas,,7,"7,00",Botol,"593.834,46","0,19%","38,70%",Pareto A,5,"7,00","2,00","63.941,00",APL ID 293873,Under Stock,29 Sep 2022 
113,IMBOO1,Imboost Kid Syr 60 ml,Obat Bebas Terbatas,,14,"14,00",Botol,"592.234,95","0,19%","38,88%",Pareto A,5,"14,00","9,00","31.900,00",Mulya Wibawa PT,Under Stock,28 Sep 2022 
114,H000000000047,Prove D3 5000 IU,Obat Bebas Terbatas,,6,"120,00",Tablet,"590.131,50","0,18%","39,07%",Pareto A,160,"120,00","-40,00","3.666,67",Enseval Putra Megatranding PT,Over Stock,20 Sep 2022 
115,WOOD3,Woods Exp 60 ml,Obat Bebas Terbatas,,25,"27,00",Botol,"588.314,43","0,18%","39,25%",Pareto A,20,"27,00","7,00","16.216,07",Combi Putra PT,Under Stock,30 Sep 2022 
116,SALO8,Salonpas Koyo Hijau 10S,Obat Bebas Terbatas,,64,"85,00",SACHET,"585.997,86","0,18%","39,43%",Pareto A,128,"85,00","-43,00","5.182,00",Barotama Mulya Perkasa,Over Stock,29 Sep 2022 
117,0001091,Pure Kids Original,Obat Bebas Terbatas,,10,"10,00",Tube,"583.837,80","0,18%","39,62%",Pareto A,7,"10,00","3,00","44.000,00",AMS (Antarmitra Sembada),Under Stock,29 Sep 2022 
118,PAND,Panadol Biru/10s,Obat Bebas Terbatas,,40,"49,00",Strip,"580.028,28","0,18%","39,80%",Pareto A,29,"49,00","20,00","8.901,80",Sumber Agung Sentosa,Under Stock,28 Sep 2022 
119,N000000000007,Neurochol Caps,Obat Bebas Terbatas,,1,"35,00",KAPSUL,"578.742,90","0,18%","39,98%",Pareto A,0,"35,00","35,00","12.600,00",,Potential Lost,29 Sep 2022 
120,OBHC4,OBH Combi Plus 100 ml Menthol,Obat Bebas Terbatas,,29,"29,00",Botol,"572.793,30","0,18%","40,16%",Pareto A,16,"29,00","13,00","14.850,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
